L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance	cov
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	30	2.027227227227227	0.2541885803731321	0.004613202653789829	-4.7316115695153363e-4	61.906229575	56.380893285	0.11276178657	0.11193199698953114	0.9944614485108546	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008390468335033449	7.037213457224764e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	31	2.0314714714714714	0.2622022618798947	0.004587443727891318	-4.929177532571663e-4	61.563358735	56.066077015	0.11213215403	0.11131205586092176	0.9937690465094472	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008311942545804387	6.922725973814276e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	32	2.0244044044044043	0.2705144421520066	0.004558562179664349	-5.176981540259987e-4	61.17976031	55.713097185	0.11142619437000001	0.11061847561791453	0.9937861649330808	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008188252646530458	6.77289470089741e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	33	2.046166166166166	0.27862225180414074	0.004527483702531833	-5.27056600015662e-4	60.79959937	55.333267285	0.11066653457	0.10993111065507079	0.9943947537725362	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.00807080965722481	6.630643027905385e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	34	2.0404604604604604	0.28707588007731355	0.004499394748548464	-5.616678106222766e-4	60.458802645	54.989974255	0.10997994851	0.10931491971179054	0.9943104849095379	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.008016165931083138	6.541936078252472e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	35	2.032972972972973	0.2948885161431469	0.004471939126197157	-5.973260314498179e-4	60.114821375	54.654421575	0.10930884315	0.10869297082647765	0.993756759790422	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.00791583172861991	6.417730698443995e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	36	2.029009009009009	0.30252261567237887	0.004444335280671004	-6.065530114291352e-4	59.739510105	54.317057365	0.10863411473	0.10801437450051529	0.993829828628455	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.007700631942408117	6.202969563927676e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	37	2.0334934934934936	0.309928045196279	0.004410840940805934	-6.374459610584874e-4	59.37090709	53.907701665	0.10781540332999999	0.10734790729925688	0.9940068502834118	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.007670027273025651	6.139038047564545e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	38	2.0191191191191193	0.31774477379017196	0.004380834461543109	-6.859565465856494e-4	59.015088354999996	53.540973335	0.10708194667	0.10670455521905	0.9933346249922768	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.007555350851850782	6.0093678644250675e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	39	2.0254454454454454	0.32489365296133405	0.004349301643105632	-7.311142296878122e-4	58.62173066	53.15559064	0.10631118128	0.10599332934348273	0.9931096952366913	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.007378426099250957	5.832410557170153e-5
